,人が親切,おもてなしの心がある,治安がよい,衛生的,先進的都市,自然・景勝地・夜景,伝統・文化,都市として多様な魅力がある,魅力的な繁華街が多い,魅力的な宿泊施設が多い,魅力的なテーマパーク等が多い,バリアフリー環境が整っている,ハイテク産業が多い,ビジネス環境が整っている,交通網が発達している,食事がおいしい,食事の種類が豊富である,観光案内所等が充実している,芸術が魅力的である,建造物が魅力的である,ファッション関係が魅力的である,ポップカルチャーが魅力的である,スポーツが魅力的である,商品が信頼できる、豊富で品質がよい,ナイトライフ観光が魅力的である,その他,具体的なイメージがない,無回答,標本数
英国,66.5,51.0,52.2,42.8,23.0,19.7,46.4,18.4,17.0,6.7,5.3,0.9,5.6,4.5,11.1,54.4,17.5,4.2,6.1,6.3,8.0,8.0,1.3,4.5,8.8,0.0,0.0,0.6,300
ドイツ,64.1,30.3,42.5,44.8,22.1,16.0,47.3,19.2,19.5,3.7,3.7,0.4,6.6,6.1,20.6,61.2,21.4,4.0,7.4,8.1,4.5,9.3,1.3,4.1,11.4,1.0,0.9,1.3,196
フランス,55.6,39.5,48.2,52.8,17.0,17.9,47.4,19.6,17.5,6.2,9.2,4.3,3.4,2.3,23.9,49.4,18.4,4.9,7.6,12.0,6.3,17.1,2.0,4.6,10.3,0.8,0.3,0.8,264
イタリア,61.5,40.3,43.9,47.1,42.2,20.7,53.3,16.4,26.6,4.2,6.1,0.7,6.7,5.2,22.9,40.4,10.5,3.0,5.6,11.9,4.5,7.5,2.6,6.8,9.4,0.0,0.0,0.0,196
スペイン,60.1,43.6,56.9,51.5,25.6,19.4,58.1,20.2,20.0,4.4,7.4,2.6,5.2,4.6,16.9,44.9,16.7,2.1,5.0,16.4,4.0,12.4,1.5,4.2,3.5,1.5,0.0,0.5,208
オーストラリア,67.3,43.8,55.9,37.5,25.8,25.0,43.8,21.9,20.2,7.1,7.7,3.9,6.7,2.1,13.4,54.0,15.9,3.6,5.9,6.1,7.6,13.8,2.6,2.9,11.3,0.0,0.5,0.3,424
インド,68.7,58.2,52.6,62.7,54.0,22.8,29.0,14.5,18.7,5.3,4.6,2.1,11.5,9.5,20.3,19.3,13.6,8.3,7.2,9.3,8.0,4.0,1.1,10.8,7.8,0.5,0.0,1.8,173
インドネシア,54.1,47.4,51.6,53.8,35.6,25.7,35.6,15.0,26.8,8.3,11.6,2.4,10.6,3.7,13.0,33.1,8.2,5.0,6.4,8.3,8.3,6.2,1.3,7.4,2.6,0.5,0.0,0.7,323
フィリピン,74.6,48.2,51.4,48.0,35.2,21.8,26.2,9.4,22.2,9.0,12.3,2.3,12.4,2.9,14.2,50.7,11.5,5.1,5.7,4.5,7.7,3.8,1.6,6.5,5.9,0.3,0.6,1.3,293
ベトナム,65.8,44.0,67.8,76.2,43.7,15.6,25.1,5.4,12.4,4.4,6.2,9.4,8.3,2.7,25.9,29.5,8.9,6.2,1.7,6.8,4.3,5.4,1.1,17.3,7.3,0.0,0.0,0.5,190
ロシア,55.6,44.0,39.1,54.0,29.5,29.8,41.3,12.6,10.8,8.3,9.6,4.6,11.8,3.2,15.1,51.1,12.1,2.2,5.0,18.3,5.0,4.9,2.7,11.2,6.5,1.4,0.0,1.4,164
その他,66.7,79.2,59.7,55.6,20.8,6.9,6.9,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,6.9,6.9,6.9,6.9,19.5,0.0,0.0,0.0,13.9,0.0,0.0,6.9,10
